"Series","SMILES","DockScore","MolWt","logP","NumHBD","NumHBA"
"M9","COC(=O)Nc1nc2c([nH]1)cc(cc2)C(=O)c1cc(ccc1)C(=O)Cc1cccnc1",-10,414.1328,3.7926,2,8
"S7","CCCOC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC=CC=C1",-10,323.127,3.7524,2,6
"S26","OC(=O)OC(=O)OC1=NC2=C(N1)C=C(SC1=CC=CC=C1)C=C2",-10,330.031,3.9075,2,7
"S29","OC(=O)OC(=O)OC1=NC2=C(N1)C=C(OC1=CC=CC=C1)C=C2",-10,314.0539,3.5486,2,8
"S49","O=C(OC1=CC=CO1)OC1=NC2=C(N1)C=C(SC1=CC=CC=C1)C=C2",-10,352.0518,4.8849,1,6
"B65","N(c1nc2ccc(cc2[nH]1)C(=O)c1cccc(c1)c1ccc(cc1)CC(=O)O)n1ccc(=O)[nH]c1=O",-9.9,481.1386,2.8132,4,10
"M5","[C@H]1(Nc2c(N1)cc(cc2)C(=O)c1cc(ccc1)c1occc1)NC(=O)OC",-9.9,363.1219,3.6546,3,7
"M11","CSC(=O)N[C@H]1Nc2ccc(cc2N1)C(=O)c1cccc(c1)-c1ccc(O)cc1",-9.9,405.1147,4.4838,4,6
"S32","OC(=O)OC(=O)NC1=NC2=C(N1)C=C(C=C2)P(=O)C1=CC=CS1",-9.9,351.0079,2.3614,3,8
"S37","c1cc(ccc1C(=O)O)Sc1cc2c(cc1)nc([nH]2)NC(=O)O",-9.9,329.047,3.5022,4,7
"S42","[H]C([H])(OC(=O)NC1=NC2=C(N1)C=C(C=C2)S(=O)C1=CC=CS1)C(O)=O",-9.9,365.014,2.4242,3,8
"S47","[H]C([H])(C(O)=O)C1=CSC(=C1)C(=O)C1=CC2=C(C=C1)N=C(NC(=O)OC1=CC=CO1)N2",-9.9,411.0525,3.6864,3,9
"M3","c1(nc2c([nH]1)cc(cc2)C(=O)c1ccccc1)NC(=O)Oc1ccccc1",-9.8,357.1113,4.4048,2,6
"M58","c1cc(cc(c1)c1ccc(cc1)C(=O)O)C(=O)c1ccc2c(c1)[nH]c(n2)NC(=O)OCC(=O)O",-9.8,459.1066,3.7922,4,10
"S10","COC(=O)NC1=NC2=C(N1)C=C(PC1=CC=CC=C1)C=C2",-9.8,299.0824,2.3705,2,5
"S13","ClOC(=O)NC1=NC2=C(N1)C=C(SC1=CC=CC=C1)C=C2",-9.8,319.0182,4.4164,2,5
"S16","BrOC(=O)NC1=NC2=C(N1)C=C(SC1=CC=CC=C1)C=C2",-9.8,362.9677,4.5725,2,5
"S21","OC(=O)OC(=O)NC1=NC2=CC=C(C=C2[NH]1)C(=O)C3=CC=CS3",-9.8,331.0263,3.0819,3,8
"S24","OC(=O)OC(=O)NC1=NC2=CC=C(C=C2[NH]1)C(=O)C3=CC=CS3",-9.8,331.0263,3.0819,3,8
"S27","OC(=O)OC(=O)SC1=NC2=C(N1)C=C(SC1=CC=CC=C1)C=C2",-9.8,346.0082,4.6208,2,6
"S30","OC(=O)OC(=O)SC1=NC2=C(N1)C=C(OC1=CC=CC=C1)C=C2",-9.8,330.031,4.2619,2,7
"S34","[H]C([H])(OC(=O)OC1=NC2=C(N1)C=C(SC1=CC=CC=C1)C=C2)C(O)=O",-9.8,344.0467,3.3141,2,7
"S35","[H]C([H])(OC(=O)SC1=NC2=C(N1)C=C(SC1=CC=CC=C1)C=C2)C(O)=O",-9.8,360.0238,4.0274,2,6
"S38","c1cc(ccc1C(=O)O)Oc1cc2c(cc1)nc([nH]2)NC(=O)O",-9.8,313.0699,3.1433,4,8
"S39","c1cc(cc(c1)CC(=O)O)Sc1cc2c(cc1)nc([nH]2)NC(=O)O",-9.8,343.0627,3.4311,4,7
"S50","O=C(OC1=NC2=C(N1)C=C(OC1=CC=CC=C1)C=C2)OC1=CC=CO1",-9.8,336.0746,4.526,1,7
"S52","CCC(=O)NC1=NC2=CC=C(PC3=CC=CC=C3)C=C2N1",-9.8,297.1031,2.5407,2,4
"E7","C1=CC=C2C(=C1)NC(=N2)CC3=NC4=C(N3)C=C(C=C4)C(=N)N",-9.7,290.128,2.3141,5,6
"N/A","COC(=O)NC1=NC2=C(N1)C=C(C=C2)SC3=CC=CC=C3",-9.7,299.0728,3.8924,2,5
"S1","COC(=O)NC1=NC2=C(N1)C=C(OC1=CC=CC=C1)C=C2",-9.7,283.0957,3.5335,2,6
"S8","CCCCOC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC=CC=C1",-9.7,337.1426,4.1425,2,6
"S31","OC(=O)OC(=O)PC1=NC2=C(N1)C=C(OC1=CC=CC=C1)C=C2",-9.7,330.0406,3.4736,2,7
"S41","[H]C([H])(OC(=O)NC1=NC2=C(N1)C=C(C=C2)P(=O)C1=CC=CS1)C(O)=O",-9.7,365.0235,1.768,3,8
"B44","O=C(c1cccc(c1)-c1ccc(cc1)C1=COC=C1)c1ccc2nc(Nn3ccc(=O)[nH]c3=O)[nH]c2c1",-9.6,489.1437,4.4461,3,9
"M8","c1(nc2c([nH]1)cc(cc2)C(=O)c1ncccc1)NC(=O)OC",-9.6,296.0909,2.3672,2,7
"M21","C(=O)(Nc1nc2c([nH]1)cc(cc2)C(=O)c1ccccc1)Cl",-9.6,299.0462,3.5646,2,5
"S28","OC(=O)OC(=O)PC1=NC2=C(N1)C=C(SC1=CC=CC=C1)C=C2",-9.6,346.0177,3.8325,2,6
"S53","COC(=O)Nc1nc2ccc(Nc3ccccc3)cc2[nH]1",-9.6,282.1117,3.4848,3,6
"C14","OC1=COC=C1OC(=O)NC1=NC2=C(N1)C=C(SC1=CC(O)=CC=C1)C=C2",-9.5,383.0576,4.3292,4,8
"D10","c12c(cc3c(c1)[nH]cn3)c(cc1nc3c(cc21)NON3)/C=C\O",-9.5,305.0913,3.477,4,7
"M4","c1(nc2c([nH]1)cc(cc2)C(=O)c1ccccc1)NC(=O)Oc1ccc(cc1)O",-9.5,373.1063,4.1104,3,7
"M14","c1cc(ccc1)C(=O)c1ccc2c(c1)[nH]c(n2)NC(=O)OCCC(=O)O",-9.5,353.1012,2.8171,3,8
"S36","[H]C([H])(OC(=O)PC1=NC2=C(N1)C=C(SC1=CC=CC=C1)C=C2)C(O)=O",-9.5,360.0334,3.2391,2,6
"S43","[H]C([H])(OC(=O)OC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC=CS1)C(O)=O",-9.5,346.026,2.4554,2,8
"A30","c1(ccc(cc1)c1nc2c([nH]1)ccc(c2)c1ccccc1)OC(=O)C[C@@](CC(=O)O)(O)C(=O)O",-9.4,460.1271,3.4828,4,9
"M19","c1(nc2c([nH]1)cc(cc2)C(=O)c1ccccc1)O",-9.4,238.0742,2.4995,2,4
"A24","[H]SC(=O)c1c([H])c([H])c(c([H])c1[H])-c1c([H])c([H])c2n([H])c(nc2c1[H]):c1c([H])c([H])c([H])c([H])c1[H]",-9.3,330.0827,4.9669,1,3
"A31","c1ccc(cc1)c1nc2c([nH]1)ccc(c2)c1ccc(cc1)OC(=O)C[C@@](CC(=O)O)(O)C(=O)O",-9.3,460.1271,3.4828,4,9
"C10","OC1=CC=CC(SC2=CC3=C(C=C2)N=C(NC(=O)OC2=CC=CO2)N3)=C1",-9.3,367.0627,4.6236,3,7
"C11","OC1=C(O)C=C(SC2=CC3=C(C=C2)N=C(NC(=O)OC2=COC=C2)N3)C=C1",-9.3,383.0576,4.3292,4,8
"D1","c12c3cc4c(c1[nH]c1c5c(nc(cc3/C=C\O)c21)c(cnc5)O)[nH]cn4",-9.3,341.0913,3.9659,4,7
"H27","c12c3cc4c(c1[nH]c1c5c(nc(cc3/C=C\O)c21)ccnc5)[nH]cn4",-9.3,325.0964,4.2603,3,6
"M7","c1(nc2c([nH]1)cc(cc2)C(=O)c1ccccc1)NC(=O)SC",-9.3,311.0728,3.6888,2,5
"M23","OC(=O)Nc1nc2c([nH]1)cc(cc2)C(=O)c1ccc(cc1)c1ccncc1",-9.3,358.1066,3.9458,3,7
"A25","[H]P([H])C(=O)c1c([H])c([H])c(c([H])c1[H])-c1c([H])c([H])c2n([H])c(nc2c1[H]):c1c([H])c([H])c([H])c([H])c1[H]",-9.2,330.0922,4.9122,1,3
"C15","OC1=COC=C1OC(=O)NC1=NC2=C(N1)C=C(SC1=CC(O)=C(O)C=C1)C=C2",-9.2,399.0525,4.0348,5,9
"E1","CC1CC(=O)NN=C1C2=CC3=C(C=C2)N=C(N3)C4=CC=C(C=C4)OC",-9.2,334.143,3.0986,2,6
"S11","COC(=O)NC1=NC2=C(N1)C=C(C=C2)P(=O)C1=CC=CS1",-9.2,321.0337,2.3132,2,6
"S44","O=C(NC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC=CS1)OC1=CC=CO1",-9.2,353.047,4.0593,2,7
"A13","c1cc(ccc1C(=O)O)c1ccc(cc1)c1nc2c([nH]1)cccc2",-9.1,314.1055,4.5951,2,4
"A19","c1(ccc(cc1)c1nc2c([nH]1)ccc(c2)c1ccccc1)CC(=O)O",-9.1,328.1212,4.524,2,4
"D13","c12c3cc4c(c1[nH]c1c5c(nc(cc3/C=C\O)c21)ccnc5CN)[nH]cn4",-9.1,354.1229,3.719,5,7
"E6","CN1CCN(CC1)C2=CC3=C(C=C2)N=C(N3)C4=CC5=C(C=C4)N=C(N5)C6=CC=C(C=C6)O",-9.1,424.2012,4.2306,3,7
"M15","c1cc(ccc1)C(=O)c1ccc2c(c1)[nH]c(n2)NC(=O)OCCCC(=O)O",-9.1,367.1168,3.2072,3,8
"M20","c1(nc2c([nH]1)cc(cc2)C(=O)c1ccccc1)C(=O)O",-9.1,266.0691,2.4921,2,5
"S18","BrOC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC=CS1",-9.1,364.947,3.7138,2,6
"S45","O=C(OC1=CC=CO1)OC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC=CS1",-9.1,354.031,4.0262,1,7
"A10","c1cc2c(cc1)nc([nH]2)c1ccc(cc1)c1ccc(cc1)O",-9,286.1106,4.6025,2,3
"A18","c1cc(ccc1CC(=O)O)c1ccc(cc1)c1nc2c([nH]1)cccc2",-9,328.1212,4.524,2,4
"A29","c1cc(ccc1OC(=O)C[C@](CC(=O)O)(O)C(=O)O)c1ccc(cc1)c1nc2c([nH]1)cccc2",-9,460.1271,3.4828,4,9
"D4","c12c3cc4c(c1[nH]c1c5c(nc(cc3/C=C\O)c21)ccnc5/C(=C\O)/O)[nH]cn4",-9,383.1018,4.6747,5,8
"D5","c12c3cc4c(c1[nH]c1c5c(nc(cc3/C=C\O)c21)ccnc5)n1c(=CNC1)[nH]4",-9,366.1229,3.2466,4,7
"D12","c12c3cc4c(c1[nH]c1=C5[C@@H](Oc(cc3/C=C\O)c21)C=CN=C5)[nH]cn4",-9,328.096,2.9548,3,6
"M52","c1cc(ccc1c1ccc(cc1)O)C(=O)c1ccc2c(c1)[nH]c(n2)NC(=O)C(=O)O",-9,401.1012,3.1896,4,8
"N/A","COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CS3",-9,301.0521,3.0337,2,6
"S15","ClOC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC=CS1",-9,320.9975,3.5577,2,6
"A16","c1(nc2c([nH]1)ccc(c2)S(O)(O)O)c1ccccc1",-8.9,276.0569,3.8124,4,5
"D2","c12c3cc4c5c1n(c1c6c(nc(cc3/C=C\O)c21)ccnc6)On5cn4",-8.9,339.0756,3.9871,1,7
"A1","ClC1=CC=C2N=C(NC2=C1)\C=C\C1=CC=CC=C1",-8.8,254.0611,4.3867,1,2
"D6","c12c3cc4c(c1n1c5c6c(nc(cc3/C=C\O)c25)ccnc6o1)n(cn4)O",-8.8,355.0705,3.9264,2,8
"H15","c1(ccc2c(c1)[nH]cn2)C(=O)c1ccc2c(c1)[nH]cn2",-8.8,262.0855,2.6702,2,5
"M57","c1cc(ccc1c1ccc(cc1)C(=O)O)C(=O)c1ccc2c(c1)[nH]c(n2)NC(=O)C(=O)O",-8.8,429.0961,3.1822,4,9
